"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 21","3,409,000","3,407,000","3,419,000","3,401,000","4.25K","0.06%"
"2024- 01- 20","3,407,000","3,452,000","3,452,000","3,390,000","1.94K","-1.30%"
"2024- 01- 19","3,452,000","3,420,000","3,454,000","3,351,000","7.06K","0.94%"
"2024- 01- 18","3,420,000","3,476,000","3,493,000","3,379,000","10.11K","-1.61%"
"2024- 01- 17","3,476,000","3,548,000","3,556,000","3,455,000","5.01K","-2.03%"
"2024- 01- 16","3,548,000","3,447,000","3,575,000","3,444,000","7.43K","2.93%"
"2024- 01- 15","3,447,000","3,394,000","3,496,000","3,390,000","4.50K","1.56%"
"2024- 01- 14","3,394,000","3,544,000","3,545,000","3,388,000","7.80K","-4.23%"
"2024- 01- 13","3,544,000","3,493,000","3,555,000","3,416,000","6.47K","1.49%"
"2024- 01- 12","3,492,000","3,586,000","3,712,000","3,408,000","32.70K","-2.62%"
"2024- 01- 11","3,586,000","3,522,000","3,658,000","3,489,000","18.26K","1.85%"
"2024- 01- 10","3,521,000","3,151,000","3,608,000","3,146,000","48.03K","11.78%"
"2024- 01- 09","3,150,000","3,129,000","3,196,000","3,024,000","20.00K","0.67%"
"2024- 01- 08","3,129,000","2,990,000","3,155,000","2,914,000","9.92K","4.65%"
"2024- 01- 07","2,990,000","3,023,000","3,051,000","2,969,000","5.13K","-1.09%"
"2024- 01- 06","3,023,000","3,050,000","3,054,000","2,993,000","2.84K","-0.89%"
"2024- 01- 05","3,050,000","3,052,000","3,060,000","2,989,000","4.79K","-0.10%"
"2024- 01- 04","3,053,000","3,018,000","3,077,000","2,970,000","6.24K","1.16%"
"2024- 01- 03","3,018,000","3,156,000","3,190,000","2,850,000","9.03K","-4.40%"
"2024- 01- 02","3,157,000","3,134,000","3,229,000","3,129,000","6.58K","0.73%"
"2024- 01- 01","3,134,000","3,080,000","3,135,000","3,067,000","5.22K","1.75%"
"2023- 12- 31","3,080,000","3,081,000","3,112,000","3,060,000","3.99K","-0.03%"
"2023- 12- 30","3,081,000","3,086,000","3,113,000","3,059,000","3.61K","-0.16%"
"2023- 12- 29","3,086,000","3,130,000","3,171,000","3,052,000","8.82K","-1.41%"
"2023- 12- 28","3,130,000","3,174,000","3,250,000","3,126,000","7.80K","-1.36%"
"2023- 12- 27","3,173,000","2,991,000","3,190,000","2,961,000","11.39K","6.08%"
"2023- 12- 26","2,991,000","3,028,000","3,037,000","2,954,000","5.94K","-1.19%"
"2023- 12- 25","3,027,000","3,054,000","3,082,000","3,013,000","4.49K","-0.88%"
"2023- 12- 24","3,054,000","3,127,000","3,157,000","3,043,000","5.06K","-2.33%"
"2023- 12- 23","3,127,000","3,146,000","3,158,000","3,083,000","3.24K","-0.60%"
"2023- 12- 22","3,146,000","3,030,000","3,175,000","3,020,000","4.99K","3.79%"
"2023- 12- 21","3,031,000","2,986,000","3,084,000","2,965,000","6.76K","1.51%"
"2023- 12- 20","2,986,000","2,972,000","3,057,000","2,932,000","9.23K","0.47%"
"2023- 12- 19","2,972,000","3,022,000","3,059,000","2,915,000","6.24K","-1.65%"
"2023- 12- 18","3,022,000","3,008,000","3,027,000","2,885,000","4.69K","0.43%"
"2023- 12- 17","3,009,000","3,051,000","3,065,000","3,009,000","3.94K","-1.38%"
"2023- 12- 16","3,051,000","3,067,000","3,099,000","3,048,000","2.72K","-0.52%"
"2023- 12- 15","3,067,000","3,149,000","3,156,000","3,053,000","4.78K","-2.60%"
"2023- 12- 14","3,149,000","3,110,000","3,170,000","3,080,000","5.39K","1.25%"
"2023- 12- 13","3,110,000","3,054,000","3,146,000","2,980,000","8.59K","1.83%"
"2023- 12- 12","3,054,000","3,066,000","3,108,000","3,009,000","5.08K","-0.39%"
"2023- 12- 11","3,066,000","3,214,000","3,218,000","2,974,000","9.51K","-4.63%"
"2023- 12- 10","3,215,000","3,214,000","3,241,000","3,175,000","3.24K","0.00%"
"2023- 12- 09","3,215,000","3,212,000","3,264,000","3,200,000","3.00K","0.09%"
"2023- 12- 08","3,212,000","3,221,000","3,265,000","3,195,000","5.86K","-0.28%"
"2023- 12- 07","3,221,000","3,073,000","3,256,000","3,041,000","10.81K","4.82%"
"2023- 12- 06","3,073,000","3,136,000","3,159,000","3,064,000","3.83K","-2.01%"
"2023- 12- 05","3,136,000","3,035,000","3,142,000","2,960,000","13.03K","3.29%"
"2023- 12- 04","3,036,000","2,945,000","3,052,000","2,944,000","5.74K","3.09%"
